games_id,na_sales_in_millions,pal_sales_in_millions,jp_sales_in_millions,other_sales_in_millions,global_sales_in_millions,total_shipped_in_millions
384,,,,,,
385,,,,,,
386,,,,,,
387,0.11,,,0.02,0.13,
388,0.37,0.52,0.04,0.09,1.01,
389,0.06,0.09,,0.03,0.18,
390,0.34,0.16,0.36,0.09,0.95,
391,,,,,,
392,0.36,0.04,0.08,0.04,0.51,
393,2.15,1.13,0.1,0.5,3.88,
394,0.66,,,0.06,0.72,
395,0.64,,,0.05,0.7,
396,0.29,,,0.03,0.32,
397,0.24,,0.01,0.02,0.27,
398,0.14,,,0.01,0.15,
399,0.5,0.4,0.06,0.16,1.13,
400,0.42,0.31,0.01,0.14,0.88,
401,0.08,0.12,,0.05,0.26,
402,0.47,0.14,0.02,0.12,0.75,
403,,,,,,
404,0.09,0.06,,0.03,0.18,
405,0.13,0.11,,0.05,0.28,
406,,,,,,3.0
407,0.52,0.86,0.06,0.26,1.7,
408,,0.03,,0.01,0.04,
409,,,0.26,,0.26,
410,,,0.05,,0.05,
411,,,,,,
412,,0.17,,0.04,0.21,
413,,0.1,,0.02,0.12,
414,,,0.04,,0.04,
415,0.06,0.1,0.01,0.04,0.2,
416,,,0.03,,0.03,
417,,0.17,0.09,0.01,0.28,
418,,0.03,,0.01,0.04,
419,,,,,,
420,,,0.01,,0.01,
421,0.28,0.0,0.02,0.03,0.34,
422,0.07,0.41,,0.13,0.62,
423,,0.08,,0.02,0.1,
424,,,,,,
425,,,,,,
426,0.52,0.08,0.01,0.08,0.69,
427,0.35,0.13,,0.1,0.58,
428,,0.02,,0.0,0.02,
429,,,,,,
430,,0.01,,0.0,0.01,
431,,,0.01,,0.01,
432,,,,,,
433,0.49,0.39,,0.17,1.06,
434,,,,,,
435,,,,,,
436,,,,,,
437,0.13,0.15,0.01,0.05,0.34,
438,0.77,0.3,0.09,0.16,1.32,
439,0.66,0.12,0.04,0.09,0.9,
440,0.2,0.33,0.01,0.1,0.64,
441,1.4,1.07,0.08,0.46,3.02,
442,1.46,0.87,0.09,0.38,2.81,
443,0.14,0.11,,0.05,0.3,
444,0.16,0.58,,0.18,0.92,
445,,,0.08,,0.08,
446,0.28,0.47,,0.13,0.88,
447,,0.25,,0.08,0.33,
448,,0.15,,0.01,0.17,
449,,,,,,
450,0.11,,,0.01,0.12,
451,,,,,,
452,0.5,0.28,0.04,0.16,0.99,
453,0.29,0.21,,0.09,0.59,
454,0.13,0.06,,0.04,0.23,
455,,,,,,
456,,,0.08,,0.08,
457,,0.07,,0.01,0.08,
458,,,,,,
459,,,,,,
460,,,,,,
461,,,,,,4.5
462,1.83,1.07,0.06,0.47,3.43,
463,,0.0,,0.0,0.0,
464,,,,,,
465,,,,,,
466,,,,,,11.95
467,,,,,,5.35
468,,,,,,
469,,,,,,3.0
470,,,,,,1.0
471,0.21,0.2,,0.08,0.49,
472,,,0.01,,0.01,
473,,0.57,0.04,0.0,0.61,
474,,0.06,,0.01,0.07,
475,0.94,0.17,0.02,0.14,1.26,
476,0.18,0.05,0.03,0.03,0.3,
477,,,0.02,,0.02,
478,,,0.28,,0.28,
479,0.31,0.03,0.76,0.04,1.14,
480,0.67,,,0.06,0.73,
481,0.55,,,0.05,0.59,
482,0.13,,,0.02,0.15,
483,,0.0,,0.0,0.0,
484,,,,,,
485,,0.0,,0.0,0.0,
486,0.01,0.09,,0.01,0.11,
487,,,,,,3.26
488,,,,,,1.2
489,2.45,1.02,,0.77,4.23,
490,,0.0,,,0.0,
491,,,0.01,,0.01,
492,,,0.11,,0.11,
493,,,0.03,,0.03,
494,0.53,0.0,,0.04,0.57,
495,0.37,0.04,,0.04,0.46,
496,0.11,,,0.01,0.12,
497,0.71,0.0,,0.06,0.77,
498,,0.0,,0.0,0.0,
499,0.3,0.43,,0.22,0.96,
500,,0.0,,0.0,0.0,
501,,0.0,,0.0,0.0,
502,,0.0,,0.0,0.0,
503,,,,,,
504,,,,,,
505,,,,,,
506,0.02,0.17,,0.09,0.28,
507,,0.0,,0.0,0.0,
508,0.1,0.63,,0.34,1.07,
509,0.07,0.0,,0.01,0.07,
510,0.08,0.02,,0.02,0.13,
511,,,,,,
512,,0.0,,0.0,0.0,
513,0.13,0.15,,0.05,0.33,
514,,0.0,0.13,,0.14,
515,,,,,,
516,,,0.04,,0.04,
517,1.4,1.4,0.1,0.86,3.75,
518,0.18,0.28,0.0,0.16,0.62,
519,0.33,0.22,,,0.55,
520,0.04,0.04,0.04,0.02,0.14,
521,0.21,,0.1,0.02,0.33,
522,0.12,0.52,,0.23,0.86,
523,0.11,0.27,0.02,0.14,0.54,
524,0.24,,,0.02,0.27,
525,0.2,,,0.02,0.22,
526,0.18,,,0.02,0.2,
527,0.16,,,0.01,0.17,
528,0.03,,,0.0,0.03,
529,0.65,1.27,0.01,0.68,2.61,
530,0.08,0.0,,0.01,0.09,
531,,,,,,
532,,,0.18,,0.18,
533,,,0.1,,0.1,
534,,,0.04,,0.04,
535,,0.0,0.02,0.0,0.02,
536,,,,,,
537,,,,,,
538,,,,,,
539,,,,,,
540,,,0.01,,0.01,
541,,,0.03,,0.03,
542,,,0.03,,0.03,
543,,,,,,
544,,,,,,
545,,,,,,
546,,,,,,
547,0.14,0.05,0.16,0.03,0.39,
548,0.21,0.09,0.01,0.05,0.36,
549,,0.01,0.08,0.0,0.09,
550,,0.04,0.09,0.02,0.15,
551,,0.0,0.01,0.0,0.01,
552,,,0.09,,0.09,
553,,,0.09,,0.09,
554,,,0.08,,0.08,
555,,,0.08,,0.08,
556,,,0.08,,0.08,
557,,,0.07,,0.07,
558,,,0.05,,0.05,
559,,,0.03,,0.03,
560,,,,,,
561,,0.08,,0.03,0.11,
562,0.17,0.51,,0.11,0.79,
563,0.05,0.16,,0.08,0.3,
564,,,0.05,,0.05,
565,,,0.04,,0.04,
566,,,0.03,,0.03,
567,,,0.01,,0.01,
568,,,,,,
569,,,,,,
570,,,,,,
571,,,,,,
572,,,0.03,,0.03,
573,,,0.01,,0.01,
574,,,0.06,,0.06,
575,0.11,0.0,0.02,0.02,0.15,
576,0.52,0.01,0.12,0.05,0.7,
577,,,0.01,,0.01,
578,,,,,,
579,,,0.01,,0.01,
580,0.14,0.0,,0.02,0.15,
581,,,,,,
582,,,0.02,,0.02,
583,0.11,,,0.02,0.12,
584,1.03,0.0,0.01,0.08,1.12,
585,0.81,0.11,,0.13,1.05,
586,0.44,0.28,,0.19,0.9,
587,0.19,0.42,,0.22,0.82,
588,,0.0,,0.0,0.0,
589,,,,,,
590,,,0.19,,0.19,
591,,,0.1,,0.1,
592,,,0.07,,0.07,
593,,,0.2,,0.2,
594,0.22,0.44,,0.24,0.9,
595,,0.0,,0.0,0.01,
596,,0.0,,0.0,0.0,
597,,0.0,,0.0,0.0,
598,,0.0,,0.0,0.0,
599,,0.05,,0.01,0.07,
600,,0.02,,0.01,0.03,
601,,0.0,,,0.0,
602,,,,,,
603,,,,,,
604,,,,,,
605,0.19,0.0,,0.02,0.21,
606,0.13,,,0.01,0.14,
607,,,,,,
608,0.33,0.25,0.07,0.17,0.82,
609,0.05,0.04,0.17,0.02,0.28,
610,,0.03,0.06,0.01,0.11,
611,0.16,0.58,0.0,0.3,1.04,
612,0.07,0.07,,0.03,0.17,
613,0.14,0.01,,0.02,0.17,
614,,0.0,,0.0,0.0,
615,,,,,,4.67
616,0.51,1.59,0.31,0.86,3.27,
617,0.47,0.34,,0.23,1.04,
618,0.13,0.12,,0.06,0.32,
619,,,,,,
620,,,0.02,,0.02,
621,0.17,0.13,0.06,0.09,0.45,
622,0.27,0.36,0.05,0.22,0.9,
623,0.25,0.12,,0.09,0.46,
624,0.26,0.01,,0.03,0.3,
625,,,,,,
626,0.32,0.01,,0.03,0.36,
627,0.5,0.5,0.63,0.33,1.96,
628,0.21,0.11,0.28,0.08,0.68,
629,0.08,0.0,0.13,0.02,0.23,
630,0.23,,,0.02,0.24,
631,0.2,,,0.02,0.21,
632,0.1,,,0.01,0.1,
633,0.32,,,0.03,0.35,
634,0.3,,,0.02,0.33,
635,0.26,,,0.02,0.28,
636,0.19,,,0.02,0.21,
637,0.16,,,0.02,0.18,
638,0.07,,,0.01,0.08,
639,,,,,,
640,,,,,,
641,,,,,,
642,0.0,0.04,0.08,0.01,0.13,
643,0.1,0.07,0.02,0.05,0.24,
644,0.21,0.16,0.01,0.12,0.5,
645,0.53,0.71,0.13,0.25,1.62,
646,0.0,,,0.0,0.0,
647,,,,,,
648,,,,,,
649,,,,,,
650,,,,,,
651,,0.0,,0.0,0.0,
652,,0.01,,0.0,0.02,
653,0.18,0.16,0.02,0.08,0.44,
654,0.15,0.11,0.22,0.08,0.56,
655,,,,,,
656,0.05,0.06,,0.03,0.13,
657,,,0.02,,0.02,
658,,,,,,
659,0.21,0.2,0.09,0.1,0.6,
660,0.15,0.1,0.32,0.08,0.66,
661,0.0,0.08,0.12,0.02,0.23,
662,,,,,,
663,,,,,,
664,,,,,,
665,,,,,,
666,0.0,0.07,,0.02,0.09,
667,,0.0,,0.0,0.01,
668,,,,,,
669,,0.03,,0.01,0.03,
670,,0.0,,0.0,0.0,
671,,,0.01,,0.01,
672,,,,,,
673,,,,,,
674,,,,,,
675,,,,,,
676,,,0.15,,0.15,
677,0.25,0.15,0.04,0.09,0.53,
678,,,,,,
679,0.15,0.11,,0.05,0.31,
680,,,,,,
681,,,,,,
682,,,,,,
683,,,,,,
684,0.0,0.01,,0.0,0.01,
685,,,,,,
686,0.36,0.69,0.02,0.31,1.38,
687,0.14,0.13,,0.05,0.32,
688,,,,,,
689,,,,,,
690,,0.05,,0.01,0.07,
691,0.13,0.19,,0.06,0.38,
692,0.15,0.12,0.26,0.06,0.59,
693,,,,,,
694,,,,,,
695,,,,,,
696,,,,,,
697,,,,,,
698,,,,,,
699,,,,,,
700,,,,,,
701,,,,,,
702,,0.02,,0.0,0.02,
703,,,,,,
704,,,,,,6.82
705,,,,,,5.7
706,,,,,,4.09
707,2.57,1.57,0.44,0.21,4.79,
708,0.05,0.04,,0.01,0.09,
709,0.65,0.44,,0.08,1.17,
710,0.24,0.16,,0.03,0.42,
711,1.96,0.72,,0.11,2.79,
712,,,,,,
713,,,,,,
714,1.58,0.06,,0.04,1.68,
715,1.32,0.19,,0.05,1.56,
716,2.12,0.25,,0.07,2.44,
717,1.41,0.42,0.03,0.07,1.94,
718,1.33,0.4,0.03,0.07,1.83,
719,0.25,0.17,,0.03,0.46,
720,,,,,,
721,,,,,,
722,,,0.15,0.01,0.16,
723,,,,,,
724,,,0.23,0.02,0.24,
725,,,0.12,0.01,0.13,
726,,,,,,
727,,,,,,
728,,,,,,
729,0.94,0.64,,0.11,1.69,
730,0.88,0.6,,0.1,1.58,
731,0.63,0.43,,0.07,1.13,
732,0.55,0.38,,0.07,1.0,
733,0.54,0.36,,0.06,0.96,
734,0.33,0.22,,0.04,0.59,
735,0.3,0.2,,0.03,0.53,
736,0.1,0.07,,0.01,0.18,
737,0.18,0.12,,0.02,0.32,
738,0.25,0.17,,0.03,0.45,
739,3.36,1.36,0.07,0.21,5.0,
740,1.93,1.58,,0.19,3.71,
741,2.14,1.21,0.01,0.17,3.52,
742,0.2,0.13,,0.02,0.35,
743,,,0.11,0.01,0.12,
744,,,0.18,0.01,0.19,
745,,,,,,9.9
746,,,,,,2.5
747,,,,,,1.3
748,0.1,0.07,0.13,0.02,0.31,
749,0.31,0.21,,0.04,0.56,
750,0.1,0.07,,0.01,0.18,
751,,,,,,
752,0.1,0.07,,0.01,0.17,
753,1.56,1.47,0.19,0.17,3.39,
754,0.41,0.28,,0.05,0.74,
755,0.18,0.12,0.42,0.05,0.76,
756,0.06,0.04,0.23,0.02,0.36,
757,0.08,0.06,,0.01,0.15,
758,0.05,0.03,,0.01,0.09,
759,0.35,0.24,,0.04,0.62,
760,,,,,,
761,,,,,,
762,0.19,0.13,,0.02,0.34,
763,0.24,0.17,,0.03,0.44,
764,0.13,0.09,,0.01,0.23,
